Time: 0m30s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 1m0s - Junction D: 1 cars through from North, 0 cars waiting.
Time: 1m30s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 2m0s - Junction D: 1 cars through from North, 0 cars waiting.
Time: 2m30s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 3m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 3m30s - Junction D: 3 cars through from North, 0 cars waiting.
Time: 4m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 4m30s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 5m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 5m30s - Junction D: 4 cars through from North, 0 cars waiting.
Time: 6m0s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 6m30s - Junction D: 4 cars through from North, 0 cars waiting.
Time: 7m0s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 7m30s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 8m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 8m30s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 9m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 9m30s - Junction D: 4 cars through from North, 0 cars waiting.
Time: 10m0s - Junction D: 1 cars through from North, 0 cars waiting.
