Time: 1m0s - Junction A: 9 cars through from South, 0 cars waiting.
Time: 2m0s - Junction A: 4 cars through from North, 0 cars waiting.
Time: 3m0s - Junction A: 12 cars through from South, 7 cars waiting. GRIDLOCK
Time: 4m0s - Junction A: 2 cars through from North, 0 cars waiting.
Time: 5m0s - Junction A: 10 cars through from South, 16 cars waiting. GRIDLOCK
Time: 6m0s - Junction A: 5 cars through from North, 0 cars waiting.
Time: 7m0s - Junction A: 10 cars through from South, 25 cars waiting. GRIDLOCK
Time: 8m0s - Junction A: 9 cars through from North, 1 cars waiting. GRIDLOCK
Time: 9m0s - Junction A: 0 cars through from South, 43 cars waiting. GRIDLOCK
Time: 10m0s - Junction A: 5 cars through from North, 0 cars waiting.
Time: 11m0s - Junction A: 6 cars through from South, 56 cars waiting. GRIDLOCK
Time: 12m0s - Junction A: 6 cars through from North, 0 cars waiting.
Time: 13m0s - Junction A: 11 cars through from South, 57 cars waiting. GRIDLOCK
Time: 14m0s - Junction A: 9 cars through from North, 0 cars waiting.
Time: 15m0s - Junction A: 1 cars through from South, 60 cars waiting. GRIDLOCK
Time: 16m0s - Junction A: 6 cars through from North, 0 cars waiting.
Time: 17m0s - Junction A: 6 cars through from South, 60 cars waiting. GRIDLOCK
Time: 18m0s - Junction A: 3 cars through from North, 0 cars waiting.
Time: 19m0s - Junction A: 9 cars through from South, 58 cars waiting. GRIDLOCK
Time: 20m0s - Junction A: 7 cars through from North, 0 cars waiting.
Time: 21m0s - Junction A: 4 cars through from South, 60 cars waiting. GRIDLOCK
Time: 22m0s - Junction A: 5 cars through from North, 0 cars waiting.
Time: 23m0s - Junction A: 6 cars through from South, 60 cars waiting. GRIDLOCK
Time: 24m0s - Junction A: 7 cars through from North, 0 cars waiting.
Time: 25m0s - Junction A: 9 cars through from South, 58 cars waiting. GRIDLOCK
Time: 26m0s - Junction A: 11 cars through from North, 0 cars waiting.
Time: 27m0s - Junction A: 0 cars through from South, 60 cars waiting. GRIDLOCK
Time: 28m0s - Junction A: 6 cars through from North, 0 cars waiting.
Time: 29m0s - Junction A: 10 cars through from South, 58 cars waiting. GRIDLOCK
Time: 30m0s - Junction A: 6 cars through from North, 0 cars waiting.
Time: 31m0s - Junction A: 9 cars through from South, 58 cars waiting. GRIDLOCK
Time: 32m0s - Junction A: 10 cars through from North, 0 cars waiting.
Time: 33m0s - Junction A: 0 cars through from South, 60 cars waiting. GRIDLOCK
Time: 34m0s - Junction A: 7 cars through from North, 0 cars waiting.
Time: 35m0s - Junction A: 7 cars through from South, 60 cars waiting. GRIDLOCK
Time: 36m0s - Junction A: 4 cars through from North, 0 cars waiting.
Time: 37m0s - Junction A: 11 cars through from South, 57 cars waiting. GRIDLOCK
Time: 38m0s - Junction A: 10 cars through from North, 0 cars waiting.
Time: 39m0s - Junction A: 5 cars through from South, 60 cars waiting. GRIDLOCK
Time: 40m0s - Junction A: 7 cars through from North, 0 cars waiting.
Time: 41m0s - Junction A: 7 cars through from South, 60 cars waiting. GRIDLOCK
Time: 42m0s - Junction A: 2 cars through from North, 0 cars waiting.
Time: 43m0s - Junction A: 10 cars through from South, 57 cars waiting. GRIDLOCK
Time: 44m0s - Junction A: 8 cars through from North, 0 cars waiting.
Time: 45m0s - Junction A: 0 cars through from South, 60 cars waiting. GRIDLOCK
Time: 46m0s - Junction A: 5 cars through from North, 0 cars waiting.
Time: 47m0s - Junction A: 8 cars through from South, 60 cars waiting. GRIDLOCK
Time: 48m0s - Junction A: 5 cars through from North, 0 cars waiting.
Time: 49m0s - Junction A: 12 cars through from South, 56 cars waiting. GRIDLOCK
Time: 50m0s - Junction A: 10 cars through from North, 1 cars waiting. GRIDLOCK
Time: 51m0s - Junction A: 0 cars through from South, 60 cars waiting. GRIDLOCK
Time: 52m0s - Junction A: 8 cars through from North, 0 cars waiting.
Time: 53m0s - Junction A: 7 cars through from South, 60 cars waiting. GRIDLOCK
Time: 54m0s - Junction A: 7 cars through from North, 0 cars waiting.
Time: 55m0s - Junction A: 10 cars through from South, 58 cars waiting. GRIDLOCK
Time: 56m0s - Junction A: 9 cars through from North, 0 cars waiting.
Time: 57m0s - Junction A: 2 cars through from South, 60 cars waiting. GRIDLOCK
Time: 58m0s - Junction A: 7 cars through from North, 0 cars waiting.
Time: 59m0s - Junction A: 9 cars through from South, 60 cars waiting. GRIDLOCK
Time: 60m0s - Junction A: 3 cars through from North, 0 cars waiting.
