Time: 0m30s - Junction C: 4 cars through from North, 0 cars waiting.
Time: 1m0s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 1m30s - Junction C: 6 cars through from North, 4 cars waiting. GRIDLOCK
Time: 2m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 2m30s - Junction C: 6 cars through from North, 7 cars waiting. GRIDLOCK
Time: 3m0s - Junction C: 1 cars through from South, 0 cars waiting.
Time: 3m30s - Junction C: 6 cars through from North, 10 cars waiting. GRIDLOCK
Time: 4m0s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 4m30s - Junction C: 6 cars through from North, 14 cars waiting. GRIDLOCK
Time: 5m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 5m30s - Junction C: 0 cars through from North, 23 cars waiting. GRIDLOCK
Time: 6m0s - Junction C: 1 cars through from South, 0 cars waiting.
Time: 6m30s - Junction C: 5 cars through from North, 28 cars waiting. GRIDLOCK
Time: 7m0s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 7m30s - Junction C: 6 cars through from North, 31 cars waiting. GRIDLOCK
Time: 8m0s - Junction C: 6 cars through from South, 2 cars waiting. GRIDLOCK
Time: 8m30s - Junction C: 2 cars through from North, 39 cars waiting. GRIDLOCK
Time: 9m0s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 9m30s - Junction C: 6 cars through from North, 42 cars waiting. GRIDLOCK
Time: 10m0s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 10m30s - Junction C: 6 cars through from North, 46 cars waiting. GRIDLOCK
Time: 11m0s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 11m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 12m0s - Junction C: 0 cars through from South, 0 cars waiting.
Time: 12m30s - Junction C: 2 cars through from North, 49 cars waiting. GRIDLOCK
Time: 13m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 13m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 14m0s - Junction C: 6 cars through from South, 3 cars waiting. GRIDLOCK
Time: 14m30s - Junction C: 2 cars through from North, 50 cars waiting. GRIDLOCK
Time: 15m0s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 15m30s - Junction C: 5 cars through from North, 49 cars waiting. GRIDLOCK
Time: 16m0s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 16m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 17m0s - Junction C: 6 cars through from South, 3 cars waiting. GRIDLOCK
Time: 17m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 18m0s - Junction C: 3 cars through from South, 0 cars waiting.
